stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"1100088","Herten (Baden), St. Josefshaus","47.55520356","7.72918555","","Parent1100088"
"1100089","Ibach (D), Ibacher Kreuz","47.74290822","8.06719464","","Parent1100089"
"1100090","Ibach (D), Abzw. Lindau","47.74523991","8.03415461","","Parent1100090"
"1100091","Ibach (D), Abzw. Ibach","47.74707016","8.04577881","","Parent1100091"
"1100093","Ibach (D), Ibacher Kluse","47.75189615","8.09997417","","Parent1100093"
"1100094","Ibach (D), Unteribach Kirche","47.73426916","8.06816483","","Parent1100094"
"1100095","Ibach (D), Sägewerk","47.74357270","8.06000812","","Parent1100095"
"1100096","Ibach (D), Schaltenbuck","47.74389286","8.05121362","","Parent1100096"
"1100097","Schopfheim, Busbahnhof","47.64785422","7.82141558","","Parent1100097"
"1100098","Schopfheim, Friedhof","47.64795104","7.81501958","","Parent1100098"
"1100099","Gündenhausen","47.64756373","7.80367386","","Parent1100099"
"1100100","Maulburg, Firma Busch","47.64760609","7.78829470","","Parent1100100"
"1100101","Maulburg, Blostweg","47.64651069","7.78567162","","Parent1100101"
"1100102","Maulburg, Bahnhof","47.64464060","7.78136869","","Parent1100102"
"1100103","Maulburg, Rathaus","47.64132995","7.77917680","","Parent1100103"
"1100104","Maulburg, Berghöfe","47.62780069","7.77175671","","Parent1100104"
"1100105","St. Blasien, Busbahnhof","47.76113615","8.12710329","","Parent1100105"
"1100106","St. Blasien, Schwimmbad","47.76891339","8.11999762","","Parent1100106"
"1100107","St. Blasien, Glashof","47.78261734","8.09842907","","Parent1100107"
"1100108","Minseln, Schlossstrasse","47.60859948","7.78031766","","Parent1100108"
"1100109","Minseln, Adler","47.60751538","7.78498890","","Parent1100109"
"1100110","Minseln, Feuerwehrhaus","47.60311213","7.79066625","","Parent1100110"
"1100111","Menzenschwand, Abzw M. Brücke","47.79232866","8.08346313","","Parent1100111"
"1100112","Bernau (Schw), Weierle Strasse","47.79451934","8.06927874","","Parent1100112"
"1100113","Bernau (Schw), Weierle","47.80846390","8.03353477","","Parent1100113"
"1100114","Unterlehen (Schw)","47.79158634","8.06217306","","Parent1100114"
"1100115","Bernau (Schw), Gass","47.79700562","8.05836421","","Parent1100115"
"1100116","Oberlehen (Schw), Thomahaus","47.78824880","8.04705442","","Parent1100116"
"1100117","Bernau (Schw), Schwendele","47.80588163","8.01014264","","Parent1100117"
"1100118","Innerlehen (Schw), Rathaus","47.80234589","8.03427139","","Parent1100118"
"1100119","Bernau (Schw), Altenrond","47.79775389","8.05210295","","Parent1100119"
"1100120","Riggenbach (Schw)","47.80156751","8.04613813","","Parent1100120"
"1100121","Riggenbach (Schw), Haus Kaiser","47.80212867","8.04994699","","Parent1100121"
"1100122","Menzenschwand, Mitteldorf","47.82396084","8.07089570","","Parent1100122"
"1100123","Menzenschwand, Vorderdorf","47.81748876","8.07015909","","Parent1100123"
"1100124","Menzenschwand, Hinterdorf","47.82926819","8.07003332","","Parent1100124"
"1100125","Bernau (Schw), Poche","47.80726328","8.02164108","","Parent1100125"
"1100126","Bernau (Schw), Goldbach","47.79578663","8.06715871","","Parent1100126"
"1100127","Rheinfelden (D), Haberbusch","47.56387834","7.77956307","","Parent1100127"
"1100128","Nollingen, Holbeinstrasse","47.56754545","7.77693101","","Parent1100128"
"1100129","Nollingen, Hebelhalle","47.57040622","7.77475709","","Parent1100129"
"1100130","Nollingen, Dürerstrasse","47.57334562","7.77357131","","Parent1100130"
"1100131","Nollingen, Sonne","47.57306077","7.77012178","","Parent1100131"
"1100132","Degerfelden, Wolfsgraben","47.57009712","7.75613501","","Parent1100132"
