id,title,description,surface_type,difficulty,duration_minutes,distance_km,elevation_gain,elevation_loss,suitable_for_kids,gpx_file,photo_file,timestamp,is_loop
aa0a9ba6-e424-436f-bbd0-5c17f7f2f7cb,"Alpstein hike over Seealpsee","Alpstein Hike over Seealpsee, starting in Wasserauen, going through Seealpsee and finishing in S�ntis",,Hard,240,11.61,1793.1,268.8,False,uploads\aa0a9ba6-e424-436f-bbd0-5c17f7f2f7cb.gpx,uploads\aa0a9ba6-e424-436f-bbd0-5c17f7f2f7cb_84c292759f24c7e7cf5c1d5d859a99ef.jpg,2025-05-13T17:29:17.477117,False
ad1afea9-0c2b-4311-b43f-f33677ecceca,Triemli-Uetliberg Trail Run,A trail run from Triemli until Uetliberg and back. Can be a easy hike/walk as well,,Medium,0,9.94,493.0,517.0,True,uploads\ad1afea9-0c2b-4311-b43f-f33677ecceca.gpx,uploads\ad1afea9-0c2b-4311-b43f-f33677ecceca_fiK8aE9lv7HHxXuU6bULLyA4CjsH-gZ9vujgbSJ8JJg-1155x2048.jpg,2025-05-15T12:56:50.573909,True
21de1216-b3e8-45a8-ab94-a9757efc2af7,Reko evening run,Reko Run Uetliberg,natural,Medium,0,9.28,439.6,430.0,False,uploads\21de1216-b3e8-45a8-ab94-a9757efc2af7.gpx,uploads\21de1216-b3e8-45a8-ab94-a9757efc2af7_OgDEKkfW0KQmMS2H11Nn-DVuYRjPNpOHZilEmDLqRxQ-1871x2048.jpg,2025-05-20T08:20:05.653684,True
